"ID";"Produto";"Descrição";"Preço original (R$)";"Estoque";"Fotos";"Desconto (%)";"Preço final (R$)";"Exige receita"
"42";"Prednisona 5mg";"20 comprimidos";"20,00";"249";"https://exemplo.com/fotos/produto8870_1.jpg";"20";"16,00";"Sim"
"41";"Prednisona 20mg";"20 comprimidos";"76,00";"76";"https://exemplo.com/fotos/produto6966_1.jpg";"20";"60,80";"Sim"
"40";"Dexametasona 4mg";"10 comprimidos";"114,18";"13";"";"0";"114,18";"Sim"
"39";"Cetirizina 10mg";"10 comprimidos";"17,67";"290";"";"0";"17,67";"Não"
"38";"Loratadina 10mg";"12 comprimidos";"56,23";"56";"";"0";"56,23";"Não"
"37";"Atenolol 50mg";"30 comprimidos";"78,31";"31";"";"0";"78,31";"Sim"
"36";"Atenolol 25mg";"30 comprimidos";"50,73";"204";"";"20";"40,58";"Sim"
"35";"Sinvastatina 40mg";"30 comprimidos";"84,72";"263";"https://exemplo.com/fotos/produto1884_1.jpg | https://exemplo.com/fotos/produto8481_2.jpg";"25";"63,54";"Sim"
"34";"Sinvastatina 20mg";"30 comprimidos";"66,94";"289";"";"0";"66,94";"Sim"
"33";"Metformina 850mg (2)";"60 comprimidos";"26,79";"144";"";"15";"22,77";"Sim"
"32";"Metformina 850mg";"30 comprimidos";"23,25";"119";"";"30";"16,28";"Sim"
"31";"Metformina 500mg (2)";"60 comprimidos";"83,83";"194";"https://exemplo.com/fotos/produto2359_1.jpg";"0";"83,83";"Sim"
"30";"Metformina 500mg";"30 comprimidos";"106,71";"220";"https://exemplo.com/fotos/produto7804_1.jpg";"10";"96,04";"Sim"
"29";"Losartana Potássica 100mg";"30 comprimidos";"15,19";"229";"";"5";"14,43";"Sim"
"28";"Losartana Potássica 50mg";"30 comprimidos";"93,58";"66";"https://exemplo.com/fotos/produto7405_1.jpg";"20";"74,86";"Sim"
"27";"Omeprazol 40mg (2)";"14 cápsulas";"46,52";"59";"";"0";"46,52";"Não"
"26";"Omeprazol 40mg";"28 cápsulas";"107,12";"177";"";"20";"85,70";"Não"
"25";"Omeprazol 20mg (2)";"14 cápsulas";"79,77";"228";"";"15";"67,80";"Não"
"24";"Omeprazol 20mg";"28 cápsulas";"60,05";"33";"";"5";"57,05";"Não"
"23";"Azitromicina 500mg (2)";"5 comprimidos";"73,76";"296";"https://exemplo.com/fotos/produto2533_1.jpg";"5";"70,07";"Sim"
"22";"Azitromicina 500mg";"3 comprimidos";"10,47";"39";"https://exemplo.com/fotos/produto6140_1.jpg | https://exemplo.com/fotos/produto6572_2.jpg";"10";"9,42";"Sim"
"21";"Amoxicilina 875mg (2)";"14 cápsulas";"64,36";"84";"https://exemplo.com/fotos/produto9011_1.jpg";"15";"54,71";"Sim"
"20";"Amoxicilina 875mg";"21 cápsulas";"65,87";"175";"https://exemplo.com/fotos/produto2199_1.jpg";"0";"65,87";"Sim"
"19";"Amoxicilina 500mg (2)";"14 cápsulas";"96,56";"124";"";"5";"91,73";"Sim"
"18";"Amoxicilina 500mg";"21 cápsulas";"59,08";"232";"";"0";"59,08";"Sim"
"17";"Ibuprofeno 600mg (2)";"10 comprimidos";"62,59";"272";"";"10";"56,33";"Não"
"16";"Ibuprofeno 600mg";"20 comprimidos";"87,18";"288";"";"0";"87,18";"Não"
"15";"Ibuprofeno 400mg (2)";"10 comprimidos";"17,75";"292";"https://exemplo.com/fotos/produto2596_1.jpg";"25";"13,31";"Não"
"14";"Ibuprofeno 400mg";"20 comprimidos";"67,64";"292";"";"0";"67,64";"Não"
"13";"Paracetamol 750mg (2)";"10 comprimidos";"11,31";"68";"";"0";"11,31";"Não"
"12";"Paracetamol 750mg";"20 comprimidos";"77,89";"298";"https://exemplo.com/fotos/produto7499_1.jpg | https://exemplo.com/fotos/produto1812_2.jpg";"0";"77,89";"Não"
"11";"Paracetamol 500mg (2)";"10 comprimidos";"54,40";"289";"";"0";"54,40";"Não"
"10";"Paracetamol 500mg";"20 comprimidos";"55,44";"35";"";"25";"41,58";"Não"
"9";"Dipirona Sódica 500mg (3)";"30 comprimidos";"12,61";"259";"";"0";"12,61";"Não"
"8";"Dipirona Sódica 500mg (2)";"20 comprimidos";"14,26";"274";"";"30";"9,98";"Não"
"7";"Dipirona Sódica 500mg";"10 comprimidos";"42,92";"77";"";"0";"42,92";"Não"
"6";"Proctan";"8 comprmidos";"70,90";"120";"";"0";"70,90";"Não"
"5";"Vitamina C";"30 comprimidos";"29,90";"20";"";"0";"29,90";"Não"
